#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
UNIÃO CATARINENSE ADM CONS LTD;83553883;202310;6;18,80860;3;0;2;0;57;75;87;4;145;11;6;93;2;15
VALTRA ADM CONS LTDA;56360266;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALTRA ADM CONS LTDA;56360266;202310;2;13,87670;21;0;0;235;1640;11996;6446;153;16628;935;879;8812;6790;628
VALTRA ADM CONS LTDA;56360266;202310;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALTRA ADM CONS LTDA;56360266;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALTRA ADM CONS LTDA;56360266;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VALTRA ADM CONS LTDA;56360266;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VEMAR ADM DE CONSÓRCIO LTDA;45594223;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;3;12,00000;133;2;3;293;8;9989;5963;276;14065;1094;793;834;4824;84
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VINAC ADM DE CONSÓRCIOS LTDA;49995293;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;3;16,58342;5;0;0;42;215;490;487;13;856;46;75;1220;106;73
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VIVIANI ADM CONS NACIONAL LTDA.;22245020;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XS5 ADM CONS S.A.;40011095;202310;1;17,23181;33;0;0;2996;4405;1506;40920;148;37457;30;4939;17737;20;1143
XS5 ADM CONS S.A.;40011095;202310;2;14,32869;8;0;0;512;241;940;6656;75;6982;39;575;1333;7;350
XS5 ADM CONS S.A.;40011095;202310;3;15,82006;44;0;0;3988;3687;10239;49928;808;54394;577;5196;15930;205;3579
XS5 ADM CONS S.A.;40011095;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XS5 ADM CONS S.A.;40011095;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XS5 ADM CONS S.A.;40011095;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YAMAHA ADM CONS LTDA;47458153;202310;1;20,38414;9;0;0;225;1019;828;3541;18;3670;121;578;7972;51;435
YAMAHA ADM CONS LTDA;47458153;202310;2;14,43668;1;0;0;86;0;3;226;2;210;0;19;3;0;3
YAMAHA ADM CONS LTDA;47458153;202310;3;15,23339;32;1;0;822;99;10183;8181;308;14897;2006;1461;12450;2501;865
YAMAHA ADM CONS LTDA;47458153;202310;4;21,09921;165;2;0;4113;2237;59227;40173;1436;77903;13117;8380;121716;17272;4074
YAMAHA ADM CONS LTDA;47458153;202310;5;19,32757;0;0;0;168;0;3397;2881;112;5120;569;589;4318;928;342
YAMAHA ADM CONS LTDA;47458153;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;1;27,89874;12;0;0;1031;2550;1854;7064;42;7177;314;1427;42731;406;564
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;2;27,02565;2;1;0;113;172;18;947;3;608;2;355;1272;0;7
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;3;23,37793;19;0;0;273;2118;6023;2329;94;6483;1283;586;30148;3087;376
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ZEMA ADM. CONSÓRCIO  LTDA;23367634;202310;6;23,01955;1;0;0;12;176;28;128;3;111;13;32;427;0;7
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;2;15,21435;7;0;0;52;251;1320;2649;18;3329;126;514;531;317;15
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;3;13,09337;2;0;0;1;96;454;210;3;613;38;13;128;219;3
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÁPICE ADM DE CONSORCIO LTDA;03762583;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ÂNCORA ADM CONS S.A.;60375243;202310;1;23,31580;4;0;0;314;711;592;1984;9;2100;67;409;7809;305;84
ÂNCORA ADM CONS S.A.;60375243;202310;2;14,15085;4;0;0;184;623;694;2176;20;2338;90;442;2744;76;131
ÂNCORA ADM CONS S.A.;60375243;202310;3;18,90661;16;6;0;836;1342;8719;6539;270;11916;1696;1646;20401;2279;1096
ÂNCORA ADM CONS S.A.;60375243;202310;4;20,26102;29;0;0;929;2891;8495;12114;107;17599;597;2413;50397;6048;512
ÂNCORA ADM CONS S.A.;60375243;202310;5;22,47236;10;0;0;307;1693;2974;3984;89;5241;638;1079;11438;971;720
ÂNCORA ADM CONS S.A.;60375243;202310;6;24,63016;1;0;0;21;49;216;174;5;289;59;42;697;68;47
