#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
BB CONSÓRCIOS                                               ;06043050;202310;00578;1;176;250865,12;3;18,87981;200;5608;215;64;35;4449;2991;1143
BB CONSÓRCIOS                                               ;06043050;202310;00579;1;176;514631,91;3;19,02822;200;4020;150;42;30;2805;2151;832
BB CONSÓRCIOS                                               ;06043050;202310;00588;1;176;113462,18;3;18,51409;200;9072;493;35;31;12805;5325;1647
BB CONSÓRCIOS                                               ;06043050;202310;00916;1;137;945090,88;3;16,50690;200;1900;46;37;3;1256;687;458
BB CONSÓRCIOS                                               ;06043050;202310;01189;1;102;265036,17;3;19,83183;180;3563;88;172;13;2680;703;820
BB CONSÓRCIOS                                               ;06043050;202310;01211;1;88;181944,27;3;19,69768;180;3310;76;156;4;3088;531;686
BB CONSÓRCIOS                                               ;06043050;202310;01231;1;76;345727,04;3;19,78244;180;4615;67;339;16;2875;390;907
BB CONSÓRCIOS                                               ;06043050;202310;01233;1;75;146496,38;3;19,12693;180;2816;32;156;22;2275;300;518
BB CONSÓRCIOS                                               ;06043050;202310;01241;1;74;95611,68;3;14,89960;180;1441;28;30;2;1164;344;273
BB CONSÓRCIOS                                               ;06043050;202310;01244;1;73;94610,06;3;16,30261;180;1427;31;39;1;1273;329;282
BB CONSÓRCIOS                                               ;06043050;202310;01248;1;71;113556,54;3;20,19260;180;1380;22;98;9;1631;211;287
BB CONSÓRCIOS                                               ;06043050;202310;01260;1;67;176408,25;3;20,01809;200;1396;14;88;5;1763;152;284
BB CONSÓRCIOS                                               ;06043050;202310;01266;1;63;224468,87;3;19,75407;200;1393;24;83;3;1556;117;302
BB CONSÓRCIOS                                               ;06043050;202310;01284;1;60;96953,69;3;18,14188;200;1385;27;85;6;1630;152;283
BB CONSÓRCIOS                                               ;06043050;202310;01288;1;57;154826,52;3;20,77251;200;1370;19;99;5;1599;88;230
BB CONSÓRCIOS                                               ;06043050;202310;01301;1;55;119289,04;3;20,42573;200;1723;33;172;9;2105;73;257
BB CONSÓRCIOS                                               ;06043050;202310;01310;1;52;117051,63;3;19,99656;200;1763;36;179;5;2687;123;258
BB CONSÓRCIOS                                               ;06043050;202310;01321;1;49;139208,61;3;17,39700;200;1809;9;147;2;1443;87;326
BB CONSÓRCIOS                                               ;06043050;202310;01335;1;47;151601,63;3;18,62704;200;1781;33;185;16;1990;53;292
BB CONSÓRCIOS                                               ;06043050;202310;01342;1;45;110405,80;3;10,67808;120;1888;23;88;13;846;330;384
BB CONSÓRCIOS                                               ;06043050;202310;01349;1;44;110663,42;3;10,83183;120;1845;39;115;8;924;280;404
BB CONSÓRCIOS                                               ;06043050;202310;01366;1;44;108603,43;3;10,49869;120;1898;13;88;6;783;361;396
BB CONSÓRCIOS                                               ;06043050;202310;01384;1;35;101381,56;3;18,26108;180;1774;29;196;9;1373;46;270
BB CONSÓRCIOS                                               ;06043050;202310;01387;1;31;184566,15;3;17,27042;180;4971;15;315;17;1963;64;509
BB CONSÓRCIOS                                               ;06043050;202310;01388;1;32;97196,97;3;18,97301;180;1701;11;170;7;1365;33;220
BB CONSÓRCIOS                                               ;06043050;202310;01408;1;29;96762,91;3;20,89528;240;2264;36;292;8;1449;9;192
BB CONSÓRCIOS                                               ;06043050;202310;01418;1;27;82453,16;3;24,19309;240;2735;11;488;5;2347;31;205
BB CONSÓRCIOS                                               ;06043050;202310;01428;1;26;95675,24;3;21,37379;240;2434;6;187;8;1419;23;200
BB CONSÓRCIOS                                               ;06043050;202310;01443;1;25;94189,43;3;22,46363;240;2298;10;313;8;2357;13;219
BB CONSÓRCIOS                                               ;06043050;202310;01457;1;24;94867,59;3;20,59040;240;4453;11;816;14;2931;26;433
BB CONSÓRCIOS                                               ;06043050;202310;01464;1;23;95346,72;3;16,71149;180;4551;24;306;30;1195;44;363
BB CONSÓRCIOS                                               ;06043050;202310;01465;1;24;163972,41;3;17,52654;240;2937;1;422;8;1060;24;249
BB CONSÓRCIOS                                               ;06043050;202310;01467;1;24;86186,96;3;19,67226;240;2349;11;312;7;1266;23;166
BB CONSÓRCIOS                                               ;06043050;202310;01474;1;22;189223,45;3;24,72486;240;3412;27;610;10;2295;15;300
BB CONSÓRCIOS                                               ;06043050;202310;01476;1;23;93944,39;3;19,37117;240;3264;3;420;3;1961;42;240
BB CONSÓRCIOS                                               ;06043050;202310;01488;1;22;95297,77;3;19,65520;240;2070;4;231;4;1270;18;158
BB CONSÓRCIOS                                               ;06043050;202310;01495;1;21;95462,09;3;17,03626;120;2295;12;200;26;663;46;293
BB CONSÓRCIOS                                               ;06043050;202310;01496;1;21;96257,46;3;22,01975;240;2644;2;416;26;1549;23;228
BB CONSÓRCIOS                                               ;06043050;202310;01505;1;20;91714,77;3;24,35362;240;2713;17;491;1;1485;7;152
BB CONSÓRCIOS                                               ;06043050;202310;01518;1;18;106991,65;3;23,65162;240;2108;7;413;1;1577;3;176
BB CONSÓRCIOS                                               ;06043050;202310;01531;1;17;110416,97;3;27,60333;240;3355;3;761;13;1824;3;234
BB CONSÓRCIOS                                               ;06043050;202310;01541;1;16;114586,02;3;26,81581;240;4915;8;915;3;1416;6;201
BB CONSÓRCIOS                                               ;06043050;202310;01552;1;15;107494,67;3;23,52013;240;2827;10;740;15;1301;7;186
BB CONSÓRCIOS                                               ;06043050;202310;01560;1;14;106358,53;3;23,29675;240;1114;2;239;4;434;4;62
BB CONSÓRCIOS                                               ;06043050;202310;01563;1;13;107211,34;3;24,29345;240;1730;2;437;6;634;0;101
BB CONSÓRCIOS                                               ;06043050;202310;01575;1;12;76869,80;3;21,77827;240;3868;1;571;10;698;0;130
BB CONSÓRCIOS                                               ;06043050;202310;01581;1;11;82762,09;3;11,65801;240;7404;3;623;18;942;9;488
BB CONSÓRCIOS                                               ;06043050;202310;01585;1;11;82612,78;3;10,10211;240;3007;1;293;4;450;4;248
BB CONSÓRCIOS                                               ;06043050;202310;01591;1;10;79220,69;3;25,53545;240;3651;1;847;10;1121;4;187
BB CONSÓRCIOS                                               ;06043050;202310;01597;1;9;280071,72;3;22,52189;240;4372;5;494;13;456;5;197
BB CONSÓRCIOS                                               ;06043050;202310;01606;1;8;78102,24;3;25,32033;240;4203;2;602;13;670;0;142
BB CONSÓRCIOS                                               ;06043050;202310;01611;1;8;225170,69;3;24,98901;240;1888;1;304;4;267;1;85
BB CONSÓRCIOS                                               ;06043050;202310;01617;1;7;78923,67;3;25,57629;240;3686;1;674;6;514;0;127
BB CONSÓRCIOS                                               ;06043050;202310;01622;1;6;352508,71;3;19,97143;240;3793;0;494;14;323;0;155
BB CONSÓRCIOS                                               ;06043050;202310;01626;1;5;77324,96;3;25,47072;240;5078;2;558;32;257;0;111
BB CONSÓRCIOS                                               ;06043050;202310;01634;1;4;76518,99;3;22,88279;240;4615;0;583;18;218;0;98
BB CONSÓRCIOS                                               ;06043050;202310;01640;1;3;142001,39;3;26,03650;240;2657;0;225;12;67;0;54
BB CONSÓRCIOS                                               ;06043050;202310;01642;1;4;83092,18;3;16,12518;240;4004;3;274;22;155;0;96
BB CONSÓRCIOS                                               ;06043050;202310;01648;1;3;74425,89;3;24,35769;240;2129;0;256;11;82;0;34
BB CONSÓRCIOS                                               ;06043050;202310;01657;1;2;76299,48;3;24,61070;240;2503;0;169;4;33;0;20
BB CONSÓRCIOS                                               ;06043050;202310;01664;1;1;73518,84;3;23,46528;240;2281;0;0;10;1;0;10
CONSORCIO GAZIN                                             ;06044551;202310;180;1;93;138197,09;3;16,94902;180;537;29;37;3;1682;34;96
CONSORCIO GAZIN                                             ;06044551;202310;243;1;45;63132,03;3;20,84226;180;332;7;68;2;1244;6;58
CONSORCIO GAZIN                                             ;06044551;202310;255;1;36;57608,98;3;21,41622;180;366;12;103;5;1344;3;55
CONSORCIO GAZIN                                             ;06044551;202310;276;1;23;148188,64;3;20,99672;200;499;4;107;1;869;1;28
CONSORCIO GAZIN                                             ;06044551;202310;289;1;12;139251,19;3;21,70704;200;1057;0;421;2;629;0;23
RCN ADM CONS LTDA                                           ;06181431;202310;2000;1;22;174988,00;3;28,28920;226;364;3;86;1;388;0;21
RCN ADM CONS LTDA                                           ;06181431;202310;4000;1;17;106698,00;3;25,00250;200;391;6;133;1;845;0;9
RCN ADM CONS LTDA                                           ;06181431;202310;4001;1;17;242969,00;3;25,68720;200;256;1;275;1;1027;0;15
RCN ADM CONS LTDA                                           ;06181431;202310;4002;1;13;94966,00;3;31,76820;220;53;2;96;0;796;0;4
RCN ADM CONS LTDA                                           ;06181431;202310;4003;1;2;277530,00;3;26,94440;220;151;0;11;1;3;0;2
RCN ADM CONS LTDA                                           ;06181431;202310;4004;1;2;260111,00;3;26,87440;220;75;0;15;0;8;0;0
ADM CONS SICREDI LTDA                                       ;07808907;202310;70016;1;132;366641,02;3;14,00000;180;524;11;3;2;274;235;115
ADM CONS SICREDI LTDA                                       ;07808907;202310;70018;1;125;481720,93;3;14,00000;180;513;16;4;5;301;217;125
ADM CONS SICREDI LTDA                                       ;07808907;202310;70019;1;123;215089,65;3;14,00000;180;527;11;2;3;281;204;112
ADM CONS SICREDI LTDA                                       ;07808907;202310;70020;1;121;465346,36;3;14,00000;180;525;12;3;2;272;209;107
ADM CONS SICREDI LTDA                                       ;07808907;202310;70021;1;118;217368,46;3;12,18762;180;518;11;4;1;210;178;104
ADM CONS SICREDI LTDA                                       ;07808907;202310;70022;1;113;210980,98;3;13,97924;180;515;21;4;3;357;195;124
ADM CONS SICREDI LTDA                                       ;07808907;202310;70023;1;112;460353,89;3;13,99125;180;686;26;8;3;389;211;186
ADM CONS SICREDI LTDA                                       ;07808907;202310;70024;1;110;197386,22;3;13,98444;180;520;16;4;4;313;159;124
ADM CONS SICREDI LTDA                                       ;07808907;202310;70025;1;107;191211,74;3;13,98964;180;507;22;11;3;305;150;140
ADM CONS SICREDI LTDA                                       ;07808907;202310;70026;1;102;192765,57;3;14,02333;180;514;18;8;4;367;132;126
ADM CONS SICREDI LTDA                                       ;07808907;202310;70027;1;102;431725,40;3;14,01595;180;522;15;3;2;288;138;135
ADM CONS SICREDI LTDA                                       ;07808907;202310;70028;1;100;187803,47;3;13,99558;180;516;15;9;6;330;119;131
ADM CONS SICREDI LTDA                                       ;07808907;202310;70029;1;98;407741,06;3;14,00997;180;515;22;3;5;295;111;150
ADM CONS SICREDI LTDA                                       ;07808907;202310;70030;1;98;183494,38;3;14,03908;180;519;12;9;1;310;130;131
ADM CONS SICREDI LTDA                                       ;07808907;202310;70031;1;94;193765,18;3;14,00409;180;513;15;12;4;315;109;142
ADM CONS SICREDI LTDA                                       ;07808907;202310;70032;1;91;421238,77;3;14,05361;180;679;21;20;2;327;126;178
ADM CONS SICREDI LTDA                                       ;07808907;202310;70033;1;91;185861,85;3;14,01421;180;691;18;11;4;416;143;168
ADM CONS SICREDI LTDA                                       ;07808907;202310;70034;1;87;224587,51;3;14,02668;180;674;27;19;5;347;102;188
ADM CONS SICREDI LTDA                                       ;07808907;202310;70035;1;87;105871,67;3;15,98733;200;566;21;13;2;366;71;143
ADM CONS SICREDI LTDA                                       ;07808907;202310;70036;1;86;474654,51;3;14,01201;180;679;22;16;3;329;101;174
ADM CONS SICREDI LTDA                                       ;07808907;202310;70037;1;84;210860,31;3;13,99449;180;686;19;15;4;389;103;182
ADM CONS SICREDI LTDA                                       ;07808907;202310;70038;1;79;106670,68;3;15,99399;200;552;20;27;3;443;46;150
ADM CONS SICREDI LTDA                                       ;07808907;202310;70039;1;77;223007,07;3;14,13660;180;688;18;14;4;353;86;154
ADM CONS SICREDI LTDA                                       ;07808907;202310;70040;1;76;105608,28;3;16,05400;200;558;19;23;4;406;35;141
ADM CONS SICREDI LTDA                                       ;07808907;202310;70041;1;76;446365,12;3;14,06128;180;687;18;15;5;361;70;187
ADM CONS SICREDI LTDA                                       ;07808907;202310;70042;1;72;102864,21;3;16,03533;200;560;22;18;5;393;37;134
ADM CONS SICREDI LTDA                                       ;07808907;202310;70043;1;71;212348,93;3;14,14432;180;690;12;18;5;355;64;197
ADM CONS SICREDI LTDA                                       ;07808907;202310;70044;1;67;103388,51;3;15,94190;200;569;9;21;5;459;22;129
ADM CONS SICREDI LTDA                                       ;07808907;202310;70045;1;65;459774,31;3;14,01627;180;671;18;29;6;328;35;188
ADM CONS SICREDI LTDA                                       ;07808907;202310;70046;1;65;210089,58;3;14,03019;180;679;19;22;4;361;41;172
ADM CONS SICREDI LTDA                                       ;07808907;202310;70047;1;64;102582,08;3;15,99200;200;553;25;22;3;446;26;131
ADM CONS SICREDI LTDA                                       ;07808907;202310;70048;1;61;100656,04;3;15,98200;200;548;14;38;6;444;20;129
ADM CONS SICREDI LTDA                                       ;07808907;202310;70049;1;59;200493,02;3;14,01440;180;676;16;28;5;392;44;168
ADM CONS SICREDI LTDA                                       ;07808907;202310;70050;1;56;103331,88;3;15,85342;200;564;9;26;5;447;15;134
ADM CONS SICREDI LTDA                                       ;07808907;202310;70051;1;54;458852,34;3;12,98993;180;844;23;32;9;388;19;230
ADM CONS SICREDI LTDA                                       ;07808907;202310;70052;1;54;205109,11;3;13,52916;180;843;24;33;6;465;35;235
ADM CONS SICREDI LTDA                                       ;07808907;202310;70053;1;53;97762,60;3;15,35626;200;535;13;51;3;439;16;121
ADM CONS SICREDI LTDA                                       ;07808907;202310;70054;1;50;95387,70;3;15,41572;200;548;11;39;3;371;19;116
ADM CONS SICREDI LTDA                                       ;07808907;202310;70055;1;45;111036,53;3;12,97366;180;829;16;54;8;521;22;180
ADM CONS SICREDI LTDA                                       ;07808907;202310;70056;1;43;245815,82;3;12,49525;180;820;21;57;6;413;17;212
ADM CONS SICREDI LTDA                                       ;07808907;202310;70057;1;43;543292,70;3;12,17403;180;809;21;69;11;420;15;217
ADM CONS SICREDI LTDA                                       ;07808907;202310;70058;1;39;101133,44;3;11,85750;180;814;12;74;6;426;24;182
ADM CONS SICREDI LTDA                                       ;07808907;202310;70059;1;36;216302,91;3;10,68416;180;825;20;54;9;308;22;171
ADM CONS SICREDI LTDA                                       ;07808907;202310;70060;1;36;94493,68;3;10,78487;180;828;11;60;8;377;12;161
ADM CONS SICREDI LTDA                                       ;07808907;202310;70061;1;34;480852,93;3;10,63129;180;829;18;52;8;274;10;188
ADM CONS SICREDI LTDA                                       ;07808907;202310;70062;1;34;97368,07;3;11,01823;180;830;9;58;4;413;10;176
ADM CONS SICREDI LTDA                                       ;07808907;202310;70063;1;32;225876,53;3;11,92665;180;829;7;64;7;399;4;168
ADM CONS SICREDI LTDA                                       ;07808907;202310;70064;1;28;98013,99;3;11,84582;180;809;4;81;7;435;7;128
ADM CONS SICREDI LTDA                                       ;07808907;202310;70065;1;26;219820,40;3;10,86109;180;819;10;65;8;291;5;135
ADM CONS SICREDI LTDA                                       ;07808907;202310;70066;1;25;485020,74;3;10,18222;180;800;10;82;8;283;5;141
ADM CONS SICREDI LTDA                                       ;07808907;202310;70067;1;23;94710,70;3;10,07464;180;825;4;67;7;303;7;106
ADM CONS SICREDI LTDA                                       ;07808907;202310;70068;1;21;214355,63;3;10,62382;180;824;8;66;7;258;3;122
ADM CONS SICREDI LTDA                                       ;07808907;202310;70069;1;19;479995,19;3;11,73853;180;811;4;76;9;270;3;116
ADM CONS SICREDI LTDA                                       ;07808907;202310;70070;1;17;91889,91;3;12,14580;180;805;1;89;5;318;5;88
ADM CONS SICREDI LTDA                                       ;07808907;202310;70071;1;16;213412,16;3;12,26454;180;805;5;83;10;212;3;91
ADM CONS SICREDI LTDA                                       ;07808907;202310;70072;1;12;86137,21;3;12,04993;180;798;3;94;10;215;2;62
ADM CONS SICREDI LTDA                                       ;07808907;202310;70073;1;12;435402,13;3;11,37248;180;769;4;122;7;172;0;73
ADM CONS SICREDI LTDA                                       ;07808907;202310;70074;1;11;195859,38;3;11,61537;180;804;6;80;10;173;0;72
ADM CONS SICREDI LTDA                                       ;07808907;202310;70075;1;7;85033,26;3;12,51728;180;799;1;96;6;79;0;41
ADM CONS SICREDI LTDA                                       ;07808907;202310;70076;1;7;192842,92;3;12,30725;180;811;3;80;8;108;0;48
ADM CONS SICREDI LTDA                                       ;07808907;202310;70077;1;7;446383,93;3;12,05212;180;795;0;94;7;107;0;46
ADM CONS SICREDI LTDA                                       ;07808907;202310;70078;1;4;88475,61;3;12,17879;180;822;0;73;6;30;0;24
ADM CONS SICREDI LTDA                                       ;07808907;202310;70079;1;4;193381,70;3;11,89278;180;824;0;66;7;48;0;25
ADM CONS SICREDI LTDA                                       ;07808907;202310;70080;1;4;444667,41;3;11,50072;180;816;0;68;7;41;0;19
ADM CONS SICREDI LTDA                                       ;07808907;202310;70081;1;1;87525,08;3;11,96520;180;889;0;1;5;7;0;5
ADM CONS SICREDI LTDA                                       ;07808907;202310;70082;1;1;191233,11;3;11,54625;180;881;0;1;6;6;0;6
ADM CONS SICREDI LTDA                                       ;07808907;202310;70083;1;1;447090,91;3;11,45003;180;869;0;0;3;11;0;3
ELDORADO ADM CONSORCIO                                      ;08570707;202310;907;1;90;131801,08;99;18,14720;150;165;40;9;1;505;30;19
ELDORADO ADM CONSORCIO                                      ;08570707;202310;908;1;33;121984,20;99;18,86426;180;242;7;42;1;402;1;10
PROMOVE                                                     ;09111444;202310;400;1;17;165050,24;3;25,00000;180;237;5;218;1;1716;0;16
PROMOVE                                                     ;09111444;202310;401;1;12;149642,86;3;25,00000;180;384;5;170;1;849;0;11
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00800;1;92;326730,70;3;12,31125;160;759;32;9;4;519;204;98
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00801;1;79;238236,65;3;11,49182;160;749;30;16;6;491;78;121
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00802;1;75;334904,87;3;9,37672;180;761;20;18;6;473;97;108
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00803;1;74;229004,91;3;9,67211;160;750;24;22;5;541;115;120
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00804;1;60;292185,22;3;9,87500;180;731;23;32;8;589;45;129
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00805;1;53;523217,82;3;10,02087;180;556;10;33;4;375;32;100
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00806;1;43;407910,12;3;12,50589;240;859;12;62;4;1085;8;108
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00807;1;35;144011,89;3;13,56757;180;849;13;100;8;1013;8;93
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00808;1;31;430230,04;3;12,61752;240;851;10;75;7;902;4;81
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00809;1;23;234640,35;3;12,33747;180;432;4;47;6;325;1;47
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00810;1;19;394080,38;3;13,35787;240;355;1;38;3;305;1;20
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00811;1;7;115727,85;3;10,95054;180;431;0;34;3;78;0;12
ADM CONS UNICOOB LTDA                                       ;12228808;202310;00812;1;2;265178,57;3;13,23826;240;442;0;5;2;4;0;4
CIMAVEL ADM CONS                                            ;13170428;202310;0I003;1;84;110580,63;3;20,00000;200;147;17;2;2;1212;51;36
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05026;1;122;143908,18;3;20,91820;150;571;16;12;5;1020;246;107
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05027;1;115;169066,08;3;19,57432;150;545;41;6;3;879;158;100
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05028;1;101;171719,74;3;19,56369;150;649;39;24;6;1053;106;127
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05029;1;88;283276,48;3;22,96024;180;654;24;35;4;1282;49;96
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05030;1;76;120872,03;3;21,82600;180;797;14;57;6;2057;23;122
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05031;1;56;230420,68;3;21,90212;180;910;10;71;3;886;13;91
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05032;1;57;104240,39;3;22,39990;180;882;17;73;2;1304;13;85
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05033;1;50;121711,33;3;21,86223;180;1193;14;145;6;1735;11;95
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05034;1;43;207183,68;3;21,16991;180;1336;9;138;6;1159;2;74
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05035;1;36;87239,54;3;20,10458;180;952;7;121;2;1251;4;39
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05036;1;23;57638,21;3;22,71512;180;1225;2;217;3;1109;1;30
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05037;1;21;163763,78;3;21,58197;180;1084;1;155;3;656;0;31
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05038;1;10;430387,93;3;21,32401;204;198;0;34;2;172;0;14
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;05039;1;6;126918,66;3;21,08797;180;257;0;34;2;121;0;10
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;20000;1;125;257455,89;4;17,22867;200;542;28;16;3;1866;81;107
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;30000;1;116;362842,77;4;16,56818;200;479;23;26;3;1435;36;78
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;40000;1;108;480441,95;4;16,97094;200;529;20;36;3;1291;33;81
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;50000;1;96;540559,31;4;19,27068;200;360;31;8;1;608;48;89
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;50001;1;89;505222,96;4;18,49366;200;292;6;16;2;543;18;52
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;60000;1;76;594055,68;4;18,61816;200;723;22;27;6;931;37;129
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;E431;1;180;287828,38;3;10,00000;180;716;4;0;0;827;716;6
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;E432;1;140;240446,75;3;17,14239;200;504;23;25;4;1407;101;76
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA80;1;37;62337,77;99;6,94142;48;209;30;0;1;36;149;25
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA81;1;35;61578,64;99;6,94118;48;223;15;0;3;34;144;32
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA82;1;34;61202,54;99;7,11475;48;225;19;0;2;47;131;56
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA83;1;32;60457,24;99;6,63158;48;76;0;0;1;16;42;18
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA84;1;20;55853,29;99;7,31658;36;195;4;0;2;4;95;38
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;MCA86;1;1;94943,18;99;10,10227;48;176;0;0;61;0;49;61
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;S2008;1;131;280666,24;3;17,64481;164;681;35;16;3;1338;212;109
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202310;S2009;1;119;144285,20;3;17,80025;204;714;32;45;4;1922;68;97
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00825;1;180;144159,35;1;16,00000;180;269;3;0;0;928;269;0
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00904;1;140;269079,99;4;9,98750;180;385;13;2;1;248;218;35
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00908;1;136;275745,11;4;10,17522;180;765;32;2;3;485;407;44
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00913;1;123;348371,78;4;13,59688;200;774;23;3;3;650;274;83
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00918;1;113;119910,39;4;12,41447;150;938;56;6;5;747;439;68
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00922;1;107;305039,40;4;9,11869;200;770;22;8;4;475;210;79
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00925;1;106;297837,48;4;7,41436;200;766;25;9;4;368;209;81
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00932;1;99;353183,68;4;11,86636;200;769;27;3;4;589;163;97
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00951;1;82;100581,87;4;8,29684;150;957;27;14;6;511;272;113
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00952;1;82;295245,30;4;9,41939;200;764;16;17;5;416;112;84
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00964;1;76;402034,98;4;5,88959;240;952;19;28;8;348;103;96
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00970;1;75;102436,34;4;5,94660;150;960;21;19;9;400;235;104
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00971;1;75;409297,62;4;5,18624;240;972;12;15;4;241;104;86
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00972;1;75;411692,84;4;5,95477;240;965;13;18;5;398;110;102
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00980;1;74;400283,96;4;5,48875;240;969;14;17;7;286;92;90
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00981;1;74;401757,88;4;5,83447;240;976;13;10;6;354;88;116
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00982;1;74;100761,64;4;6,11862;150;977;15;8;11;370;196;139
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00984;1;74;101825,55;4;6,29417;150;967;27;6;7;355;246;124
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00986;1;74;402033,07;4;6,29184;240;972;7;20;7;302;94;105
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00989;1;74;408083,04;4;7,03858;240;957;25;16;5;442;74;122
SICOOB ADM CONS LTDA.                                       ;16551061;202310;00999;1;67;99207,91;4;10,96553;150;964;9;26;12;609;135;132
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01000;1;66;398919,04;4;10,31349;240;946;11;36;11;515;44;102
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01016;1;62;385837,61;4;9,99918;240;957;12;27;9;520;30;110
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01017;1;62;96600,83;4;10,14003;150;942;17;40;11;608;87;147
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01027;1;59;368553,56;4;9,31853;240;952;11;32;9;469;45;91
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01031;1;55;508005,05;4;8,87319;240;956;7;33;8;426;48;182
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01035;1;57;362766,14;4;9,98101;240;951;15;32;8;638;43;167
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01062;1;52;387129,15;4;9,10336;240;957;14;27;8;473;26;148
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01063;1;52;93413,59;4;8,74976;150;969;3;22;11;458;93;166
SICOOB ADM CONS LTDA.                                       ;16551061;202310;01067;1;47;375812,87;4;7,73462;240;963;11;24;5;370;32;152
